hitId,queryNum,topicNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId
60,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," The blue whale is the largest mammal on Earth. It is also the largest animal known to have ever lived. It is not, however, the largest organism, which is a disputed title betw  een some plants and fungi.",MARCO_4178611,0," Pairs of Basking Sharks mate via internal fertilization, and females give birth to live young. As opposed to Whale Sharks, which give live birth to hundreds of small babies, Basking Sharks give birth to only a few, quite large babies.",MARCO_4255753,0," Order: Squaliform. Dogfish sharks are the second largest of shark orders with 119 species. Dogfish come in all shapes, sizes, and colors and they live in almost every ocean habitat and depth.This group of sharks are an exercise in extremes.Dogfish are represented by what is thought to be the smallest shark species (Dwarf lantern shark, which only grows to about 6 inches) and some of the largest (Greenland and Sleeper sharks).ogfish come in all shapes, sizes, and colors and they live in almost every ocean habitat and depth. This group of sharks are an exercise in extremes.",MARCO_4262807,0," North Atlantic Right whales (Eubalaena glacialis) are big, but they're not the biggest whales. That distinction goes to the Blue whale (Balaenoptera musculus), the largest animal on Earth.While the Orca, or Killer whale size of up to 31 feet make it the largest dolphin.The Sperm whale on the other hand may not be the biggest whale, but it has the biggest brain to have ever existed on Earth.hat distinction goes to the Blue whale (Balaenoptera musculus), the largest animal on Earth. While the Orca, or Killer whale size of up to 31 feet make it the largest dolphin. The Sperm whale on the other hand may not be the biggest whale, but it has the biggest brain to have ever existed on Earth.",MARCO_4303676,0," But at 60 or so tons, the middle Eocene Basilosaurus was certainly the biggest prehistoric whale that ever lived, outweighing even the much later Leviathan (which itself may have tangled with the biggest prehistoric shark of all time, Megalodon) by 10 or 20 tons.",MARCO_3877651,3,
61,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," When a blue whale exhales, the spray from its blowhole can reach nearly 30 ft (9m) into the air. Size relative to a bus: Blue whales are the largest animals ever known to have lived on Earth. These magnificent marine mammals rule the oceans at up to 100 feet (30 meters) long and upwards of 200 tons (181 metric tons).Their tongues alone can weigh as much as an elephant. Their hearts, as much as an automobile.ize relative to a bus: Blue whales are the largest animals ever known to have lived on Earth. These magnificent marine mammals rule the oceans at up to 100 feet (30 meters) long and upwards of 200 tons (181 metric tons). Their tongues alone can weigh as much as an elephant. Their hearts, as much as an automobile.",MARCO_4416274,0," Tiger sharks tend to measure in the 10 to 14 foot range, with some exceptional individuals approaching 15 feet. The largest tiger shark ever recorded was at least 17, perhaps 18 feet long. Some claim that even larger tiger sharks are out there.",MARCO_4416684,0," Range: All major oceans. Fin, or finback, whales are the second largest animals to ever have lived on earth. In fact, the only animal larger than a finback is a blue whale, which can get up to 100 feet long. Finbacks are a very close second though, reaching up to 80 ft. long, and sometimes a little longer. These whales are dark gray on top from the tip of their mouth to their tail, and are white underneath.",MARCO_4452545,0," Scientists in Argentina have announced the biggest discovery ever made in the field of paleontology. Literally the biggest. Bones were found of a dinosaur believed to have been the largest creature ever to walk the earth. To get a sense of how big the titanosaur was you have to look at its thigh bone next to scientist Diego Pol, one of the lead paleontologists on the dig.",MARCO_4631840,0," The largest bodies of water on Earth are the Pacific Ocean, Atlantic Ocean, Indian Ocean, Southern Ocean, and Arctic Ocean. The Pacific Ocean is the largest ocean on Earth, covering more than one-third of the Earth's surface and nearly half of Earth's water surface. The world's second largest ocean is the Atlantic Ocean, which covers one-fifth of the total surface area of the Earth. The third largest ocean in the world, the Indian Ocean, is surrounded by the Arabian Peninsula and Southeast Asia in the north, Africa in west and Australia in the east.",MARCO_4649252,0,
62,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," this is the closest that any planet comes to earth the farthest that venus ever gets from earth is 261 million km the means that the venus distance from earth can vary by an incredible 223 million kmwhile that seems like an amazing distance it is nothing compared to the numbers attributed to other planets try to imagine how far it is between earth and neptunehere is a link that tells you how to figure those distances outhis is the closest that any planet comes to earth the farthest that venus ever gets from earth is 261 million km the means that the venus distance from earth can vary by an incredible 223 million km",MARCO_4655653,0," The life-span of tiger sharks in the wild is considered to be 27 years in average, even though some may live up to 50 years of age. As with other species, tiger sharks in captivity do not live as extensive as in wildlife reaching only 17 to 20 years.Some experts presume that the lifespan of the Great White Sharks is approximately 30 years (Levine, 1988) but other research indicates that they can reach up to 40 years.ately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.",MARCO_4674256,0," It is a nomadic animal which is often found close to the coast, guided by warmer currents in deep waters. In the past, tiger sharks have been found across the western Pacific Ocean, from Japan to New Zealand, as well as the Caribbean Sea, the Gulf of Mexico and South America.It has also been spotted off the coast of Africa, China, India and Indonesia.he tiger shark is one of the largest shark species which has been known to reach lengths of around 18 feet(six metres) in the past. This, however, is a rare occurrence and the more common sizes are ten to 14ft, with the female tiger shark larger than the male.",MARCO_4754009,0," There are about 40 species of sharks found in the Hawaiian waters ranging from 8 inches to over 50 feet long. The most common sharks seen around Hawaii are Blacktip Sharks, Reef Blacktip Sharks, Reef Whitetip Sharks, Tiger Sharks, Sandbar Sharks, Galapagos Sharks, Scalloped Hammerhead Sharks, and Gray Reef Sharks.here are about 40 species of sharks found in the Hawaiian waters ranging from 8 inches to over 50 feet long. The most common sharks seen around Hawaii are Blacktip Sharks, Reef Blacktip Sharks, Reef Whitetip Sharks, Tiger Sharks, Sandbar Sharks, Galapagos Sharks, Scalloped Hammerhead Sharks, and Gray Reef Sharks.",MARCO_4754012,0," Eating Habits of Tiger Sharks. A tiger shark will eat any type of fish, shark, animal, and small entity it can find in the water. They are very curious by nature and will taste anything that comes their way. The stomachs of tiger sharks have been found with some very unique items inside of them.ating Habits of Tiger Sharks. A tiger shark will eat any type of fish, shark, animal, and small entity it can find in the water. They are very curious by nature and will taste anything that comes their way. The stomachs of tiger sharks have been found with some very unique items inside of them.",MARCO_4754015,0,
63,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," Blue whales are the largest animals ever known to have lived on Earth. These magnificent marine mammals rule the oceans at up to 100 feet (30 meters) long and upwards of 200 tons (181 metric tons). Their tongues alone can weigh as much as an elephant.",MARCO_4805714,0," The largest mammal on Earth is also the largest animal to ever live on land or in the ocean, dwarfing even the largest Dinosaur, and is the Blue Whale.he blue whale of course being the largest. Blue whale is not only the largest mammal on earth  , but the largest animal of any kind on the earth. Better still, the blue whale, is the largest animal to ever exist on the earth.",MARCO_4844580,0," The Blue whale is the largest mammal on earth. average size of the whale is 87 feet long. that's about as big as a passenger jet. it is also the loudest animal on the planet.  And the whale shark is a fish.he blue whale of course being the largest. Blue whale is not only the largest mammal on earth  , but the largest animal of any kind on the earth. Better still, the blue whale, is the largest animal to ever exist on the earth.",MARCO_4844581,0," A list of the 5-10 largest mammals on earth would include only a list of whales. The blue whale of course being the largest. Blue whale is not only the largest mammal on earth  , but the largest animal of any kind on the earth.Better still, the blue whale, is the largest animal to ever exist on the earth.he blue whale of course being the largest. Blue whale is not only the largest mammal on earth  , but the largest animal of any kind on the earth. Better still, the blue whale, is the largest animal to ever exist on the earth.",MARCO_4844582,0," Blue whales are so big they are the biggest creature ever to have lived on earth-even bigger than the biggest dinosaurs! The largest whale ever measured was a female weighing 171,000 kgs and measuring over 90ft.27m long.The longest whale measured in at over 110ft.33m.he blue whale is the largest creature to have ever lived on earth! One of the most important reasons that whales have become so large is they have more space-more room to roam. Remember: over 70% of the earth is covered in ocean water.",MARCO_4844584,0,
64,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," From the blue shark to the whale shark, what are the 20 largest sharks? Check out this list of the 20 largest sharks from Shark Week.",MARCO_13253,1," The blue whale is the largest animal alive on Earth today, although the exact maximum size is something of a moving target in the literature. This prodigious species is thought to be capable of reaching 110 feet in length, and the largest scientifically verified individuals on record are 89 to 98 feet long.he blue whale is the largest animal alive on Earth today, although the exact maximum size is something of a moving target in the literature. This prodigious species is thought to be capable of reaching 110 feet in length, and the largest scientifically verified individuals on record are 89 to 98 feet long.",MARCO_4844587,0," This is a list of the largest snakes in the world. Largest Snake ever discovered was probably the largest non-marine creature living on earth.#1 Titanoboa. This monster snake lived 60-58 million years ago.It is the largest snake ever discovered, reaching a length of 12-15 m (40-50 ft), and weighing about 1135 kg (2500 pounds).The fossils of 28 of the titanoboa were found in coal mines in Colombia in 2009.his is a list of the largest snakes in the world. Largest Snake ever discovered was probably the largest non-marine creature living on earth. #1 Titanoboa.",MARCO_5005787,0," Scientist don't really know for sure, but they are sure of one thing-as big as the ancient dinosaurs were they were never as big as the blue whale is. The blue whale is the largest creature to have ever lived on earth! One of the most important reasons that whales have become so large is they have more space-more room to roam. Remember: over 70% of the earth is covered in ocean water.",MARCO_5038166,0," exists and is an alternate of . A whale shark. Sorry, but while the largest FISH species is the Whale shark (at 41 feet long), the Blue whale (a marine MAMMAL) is OVER DOUBLE that, at 98 feet in length. The Blue whale (Balaenoptera musculus) is the largest animal species this Earth has ever known to have existed. A whale shark.br Sorry, but while the largest FISH species is the Whale shark (at 41 feet long), the Blue whale (a marine MAMMAL) is OVER DOUBLE that, at 98 feet in length. The Blue whale i(Balaenoptera musculus)i is the largest animal species this Earth has ever known to have existed.",MARCO_5079868,0,
65,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," By GNA. A student of the Department of Molecular Biology and Biotechnology, University of Cape Coast has debunked the assertion by Christians that Adam was the first man on earth. Mr Zakaria Hudu Froko was of the view that while Adam lived on earth only about 6,000 years ago, the world is much older.y GNA. A student of the Department of Molecular Biology and Biotechnology, University of Cape Coast has debunked the assertion by Christians that Adam was the first man on earth. Mr Zakaria Hudu Froko was of the view that while Adam lived on earth only about 6,000 years ago, the world is much older.",MARCO_5108236,0," Some scientists believe that the life expectancy of the Great White Sharks is around 30 years (Levine, 1988) but other research indicates that they can reach up to 40 years. The lifespan of Tiger Sharks in the wild is believed to be 27 years in average, although some may live up to 50 years of age.Like with other species, tiger sharks in captivity do not live as lengthy as in wildlife reaching only 17 to 20 years.hark lifespan vary by kind. Although the majority of types live 20 to 30 years in the wild, there are some kinds that live much longer than others. For example, the spiny dogfish has one of the longest lifespan at more than 100 years, while the blue shark in the wild has an average lifespan of 15-16 years.",MARCO_5192599,0," 1.111 billion people (2013) live in Africa. Algeria is the largest country (by area) in Africa; and Nigeria is the largest country by population. In early 2014 Nigeria surpassed South Africa as Africas largest economy.Here is a brief overview of the largest economies in Africa as of 2015:.111 billion people (2013) live in Africa. Algeria is the largest country (by area) in Africa; and Nigeria is the largest country by population. In early 2014 Nigeria surpassed South Africa as Africas largest economy. Here is a brief overview of the largest economies in Africa as of 2015:",MARCO_5199105,0," Popular Posts. Irish Deer: the largest deer that ever lived (extinct about 7,700 years ago) Wiki-Photo: (c) The Field Museum, CK1T-10 Most Amazing disappeared Animals. The Irish Elk or Giant Deer, was the largest deer that ever lived. It lived in Eurasia, from Ireland to east of Lake Baikal, during the Late...",MARCO_5234654,0," Tiger sharks live in tropical and subtropical oceans and sometimes in temperate waters. It is found sometimes in river estuaries and harbors. Size. Tiger sharks range in size from 8.8 to 24 feet (2.7 to 7.3 meters) long.The largest found weighed 6,800 lb (3,084 kg).Pups (babies) are 18-19 inches long.hey eat almost anything. They're kind of the garbage can of the sea. Depending on where they live, they eat all vertebrates (anything with a backbone that lives in the ocean) like fish, seabirds, sea turtles, marine mammals...plus lobsters, squid and garbage.. Juvenile tiger sharks eat sea snakes.",MARCO_5321443,0,
66,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," Earth is classified as the largest of the terrestrial planets based on its circumference and diameter as well. At the equator, Earth's circumference is 24,901.55 miles (40,075.16 km). It is slightly smaller between the North and South poles at 24,859.82 miles (40,008 km).Earth's diameter at the poles is 7,899.80 miles (12,713.5 km) while it is 7,926.28 miles (12,756.1 km) at the equator. For comparison, the largest planet in Earth's solar system, Jupiter, has a diameter of 88,846 miles (142,984 km).arth's Size. As the largest of the terrestrial planets, Earth has an estimated mass of 5.9736  10 24 kg. Its volume is also the largest of these planets at 108.321  10 10 km 3. In addition, Earth is the densest of the terrestrial planets as it is made up of a crust, mantle and core.",MARCO_5351079,0," The largest carnivorous dinosaur that ever lived on earth was Giganotosaurus.. The largest is liopleurodon.. The largest carnivores ever lived on earth are- 1) Spinosa  urus aegiptiacus 2) Gigantosaurus carolini 3) Tyrannosaurus rex The largest of all definitely is liopleurodon. Answered.onfidence votes 11. There is some degree of overlap between Spinosaurus, Giganotosaurus, and Carcharodontosaurus. Spinosaurus appears to be the largest, but the sail on its back makes it look larger than it actually was.",MARCO_5446551,0," The Megalodon, Carcharodon megalodon, was largest shark of all time. It lived from the late Oligocene to early Pleistocene epochs, 20 to 1.5 million years ago. This giant of a shark was a huge version of the current great white shark. The word megalodon is a Greek word and means big tooth. Megalodon had teeth, which are among the largest ever found, over 18 cm long. The are believed to be as long as 16 meters and weigh over 60 tons. Megalodon hunted large and medium-sized whales, attacking the bony areas, such as chest or fins. This would stop the whale, or it could kill quickly with a fatal bite to the chest region. Megalodon could bite with the one of the strongest bites in the animal kingdom's history. The skeleton of a Megalodon was made of cartilage, so it will be impossible to find complete remains of these animals. Megalodon teeth, however were bone and can be found in all oceans, which shows that the sharks were all over the world.",MARCO_5536323,4," Great white sharks on way to endangered. Great white sharks off the coast of California are safer, at least for now. Great white sharks may be listed as endangered species. California To Consider Listing Great White Shark As Endangered Species. Calif. advances candidacy of great white shark to endangered species list ... Great White Sharks May Soon be Endangered; Jaws Needs Help. Officials Push To List Great White Sharks As Endangered Species. Fish and Game to consider great white shark status.",MARCO_5577054,0," How Long Do Great White Sharks Live. Many sharks can live for about 20 to 30 years, with some species are known to live a fairly longer life. The lifespans of large sharks are greater than that of the smaller sharks. Great white shark reaches its maturity at the age of 15 and it has the lifespan of 25 to 30 years.",MARCO_5745781,0,
67,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," Karen Carr, via Wikimedia Commons. Around 28 million years ago, the largest shark to have ever lived on Earth roamed the seas, tearing apart large marine mammals such as whales and dolphins.",MARCO_5791601,3," From the blue shark to the whale shark, what are the 20 largest sharks? Check out this list of the 20 largest sharks from Shark Week.",MARCO_13253,1," Megalodon was the biggest shark that ever lived, but just how big was it? Paleontologists aren't quite sure, but most agree that Megalodon grew to at least 52 feet. A study published in 2013 suggests a maximum length of 59 feet - roughly three times as long as the longest great white!",MARCO_5791603,4," When Did Megalodon Disappear From The Oceans? Around 28 million years ago, the largest shark to have ever lived on Earth roamed the seas, tearing apart large marine mammals such as whales and dolphins. Measuring up to 18 meters in length, armed with teeth up to 7 inches long, the iconic Carcharocles megalodon (Megalodon) was a formidable predator.",MARCO_5791604,4," When a blue whale exhales, the spray from its blowhole can reach nearly 30 ft (9m) into the air. Size relative to a bus: Blue whales are the largest animals ever known to have lived on Earth.These magnificent marine mammals rule the oceans at up to 100 feet (30 meters) long and upwards of 200 tons (181 metric tons).Their tongues alone can weigh as much as an elephant. Their hearts, as much as an automobile.hen a blue whale exhales, the spray from its blowhole can reach nearly 30 ft (9m) into the air. Size relative to a bus: Blue whales are the largest animals ever known to have lived on Earth.",MARCO_588691,0,
68,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," How Long Do Great White Sharks Live. (How Long Do Sharks Live) Many sharks can live for about 20 to 30 years, with some species are known to live a fairly longer life. The lifespans of large sharks are greater than that of the smaller sharks. Great white shark reaches its maturity at the age of 15 and it has the lifespan of 25 to 30 years.",MARCO_6003357,0," How Long Do Great White Sharks Live. Many sharks can live for about 20 to 30 years, with some species are known to live a fairly longer life. The lifespans of large sharks are greater than that of the smaller sharks. Great white shark reaches its maturity at the age of 15 and it has the lifespan of 25 to 30 years. The average lifespan of tiger sharks is 50 years in the wild. (How Long Do Sharks Live) The average lifespan of nurse sharks is 25 years in captivity.",MARCO_6003360,0," Size: The spined pygmy shark, a deep-sea shark, is one of the smallest at only about 7-8 inches, while the whale shark is the largest shark, and fish, at about 50 feet in length. Lifespan: Although lifespan varies by shark species, most sharks are long-lived and generally tend to live for 20-30 years. Species like the spiny dogfish and the whale shark are believed to live for over 100 years!",MARCO_6116661,0," Tiger shark is one of the largest species of sharks on the planet. This animal can be found in the warm, tropical and subtropical waters all over the world. Largest population of tiger sharks lives in Melanesia, Micronesia and Polynesia.",MARCO_6226371,0," Tiger shark is one of the largest species of sharks on the planet. This animal can be found in the warm, tropical and subtropical waters all over the world. Largest population of tiger sharks lives in Melanesia, Micronesia and Polynesia. Tiger sharks normally spends majority of their time in the deep water.",MARCO_6226372,0,
69,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," Tiger shark Facts. Tiger shark is one of the largest species of sharks on the planet. This animal can be found in the warm, tropical and subtropical waters all over the world. Largest population of tiger sharks lives in Melanesia, Micronesia and Polynesia.",MARCO_6226377,0," Irish Deer: the largest deer that ever lived (extinct about 7,700 years ago) Wiki-Photo: (c) The Field Museum, CK1T-10 Most Amazing disappeared Animals. The Irish Elk or Giant Deer, was the largest deer that ever lived.",MARCO_6241696,0," Popular Posts. Irish Deer: the largest deer that ever lived (extinct about 7,700 years ago) Wiki-Photo: (c) The Field Museum, CK1T-10 Most Amazing disappeared Animals. The Irish Elk or Giant Deer, was the largest deer that ever lived.",MARCO_6241697,0," the body of a great white shark is shaped like a torpedo which helps the shark in achieving such great speeds the body of a great white shark can be around 4 6 6 4 meters long which is about 15 1 21 feet long as for weight great white shark can weigh around 2260 3 300kg which is about 4982 7275 poundshe body of a tiger shark can be around 3 5 meters long which is about 9 8 16 4 feet long some can get even bigger than that for instance one tiger shark was found to be 55 meters long which is about 18 feet long as for weight a tiger shark will usually weigh around 385 635kg which is about 849 1400 pounds",MARCO_6248019,0," the body of a tiger shark can be around 3 5 meters long which is about 9 8 16 4 feet long some can get even bigger than that for instance one tiger shark was found to be 55 meters long which is about 18 feet long as for weight a tiger shark will usually weigh around 385 635kg which is about 849 1400 poundshe body of a tiger shark can be around 3 5 meters long which is about 9 8 16 4 feet long some can get even bigger than that for instance one tiger shark was found to be 55 meters long which is about 18 feet long as for weight a tiger shark will usually weigh around 385 635kg which is about 849 1400 pounds",MARCO_6248022,0,
70,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," The largest weight of a whale shark registered is 47,000 pounds or 21.5 tonnes. From there, weights are smaller and change according with the species. Male bull sharks weight around 200 pounds while female bull sharks can reach up to 290 pounds. The largest tiger shark captured weight was 1,450 pounds. The great white shark weight ranges from 1,500 lb. to 2,500 lb. Links to other pages in this site. Why Do The Great White Sharks Attack Humans? Where Does A Whale Shark Live? What Is A Whale Shark? How Much Do Sharks Weight? How Do Sharks Know When Something Is Food Or Not?",MARCO_6283457,0," Mercury is the smallest planet in our Solar System, but it is dense. Because Mercury is so small, it has very little gravity. If you weighed 68 kg on Earth, you would only weigh 25.7 kg on Mercury. Venus is very close to Earth in size and mass. Venus mass is roughly 90% of the mass of the Earth. Thus, it is no surprise that someone would weigh a similar amount on Venus. Someone who weighed 68 kg on Earth would weigh 61.6 kg on Venus. Mars is quite a bit smaller than Earth with only 11% of our planets mass. Mars is larger than Mercury, but it is not as dense as the smaller planet. If you weighed 68 kg on Earth then you would weigh 25.6 kg on Mars. Since Pluto was demoted to a dwarf planet, Mars became the planet where you would weigh the least. Jupiter is the largest planet in our Solar System with the most mass. Because of Jupiters mass, you would weigh more on that planet than on any other one in our Solar System. If you weighed 68 kg on Earth then you would weigh 160.7 kg on Jupiter, over twice your normal weight.",MARCO_6501570,0," The megalodon shark (C. megalodon) is widely regarded as both the largest shark to have ever lived on Earth and one of the largest vertebrate predators in history. Megalodons roamed the seas from around 28 million years ago until 1.6 million years ago, when they were wiped out during the Pleistocene extinction.",MARCO_1102873,4," Tiger sharks are one of the largest carnivores in the ocean. Juveniles have tiger-like stripes, which fade as they grow older. Tiger sharks are blue or green in color with a light yellow or white under-belly.This speices has a large blunt nose on the end of a wedge-shaped head.iger sharks are some of the largest predators in the ocean and have few species feed on them. Some juvenile tiger sharks, however, fall prey to other sharks. Female tiger sharks gives birth in a nursery, which provides protection during the birthing process and to pups in the absence of parents.",MARCO_673357,0," Tiger shark Facts. Tiger shark is one of the largest species of sharks on the planet. This animal can be found in the warm, tropical and subtropical waters all over the world. Largest population of tiger sharks lives in Melanesia, Micronesia and Polynesia.Tiger sharks normally spends majority of their time in the deep water.iger sharks are the second most dangerous species of sharks for humans. Unlike great white sharks (which are the most dangerous), tiger sharks will often eat victim after attack. Luckily, encounters between tiger sharks and humans are rare.",MARCO_673361,0,
71,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," Tiger sharks are some of the largest predators in the ocean and have few species feed on them. Some juvenile tiger sharks, however, fall prey to other sharks. Female tiger sharks gives birth in a nursery, which provides protection during the birthing process and to pups in the absence of parents.iger sharks are some of the largest predators in the ocean and have few species feed on them. Some juvenile tiger sharks, however, fall prey to other sharks. Female tiger sharks gives birth in a nursery, which provides protection during the birthing process and to pups in the absence of parents.",MARCO_673363,0," Sometimes; all sharks are predators after all. Most shark species (about 80 percent) have never been known to attack humans. There are four shark species that have always been considered dangerous to humans: great white shark, tiger shark, bull shark and oceanic whitetip shark.17 other species of sharks have also attacked humans. They are considered less dangerous, but can be aggressive if threatened or disturbed.here are four shark species that have always been considered dangerous to humans: great white shark, tiger shark, bull shark and oceanic whitetip shark. 17 other species of sharks have also attacked humans.",MARCO_673365,0," (CBS News) A new study suggests that two recent earthquakes may indicate a literal seismic shift in our understanding of tectonic plate movements. Massive earthquakes under the Indian Ocean that took place last spring are the largest of their kind ever recorded. The 8.7 magnitude quake, followed by a 8.2 magnitude aftershock, could signal the formation of a new plate boundary under the Earth. While not the largest earthquakes ever recorded, the two quakes are notable for their unusual location.",MARCO_6808330,0," 17 pages on this wiki. sea, it is the fourth-largest planet by diameter and the third-largest by mass. Neptune is 17 times the mass of Earth and is slightly more massive than its near-twin Uranus, which is 15 Earth masses and not as dense.7 pages on this wiki. sea, it is the fourth-largest planet by diameter and the third-largest by mass. Neptune is 17 times the mass of Earth and is slightly more massive than its near-twin Uranus, which is 15 Earth masses and not as dense.",MARCO_6884069,0," Irish Deer: the largest deer that ever lived (extinct about 7,700 years ago) Wiki - Photo: (c) The Field Museum, CK1T-10 Most Amazing disappeared Animals. The Irish Elk or Giant Deer, was the largest deer that ever lived. It lived in Eurasia, from Ireland to east of Lake Baikal, during the Late...",MARCO_6908082,0,
72,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," This is a list of the largest snakes in the world. Largest Snake ever discovered was probably the largest non-marine creature living on earth. #1 Titanoboa. This monster snake lived 60-58 million years ago. It is the largest snake ever discovered, reaching a length of 12-15 m (40-50 ft), and weighing about 1135 kg (2500 pounds). The fossils of 28 of the titanoboa were found in coal mines in Colombia in 2009.",MARCO_7387977,0," This page is about all possible antonyms and opposite words for the term earth day. We couldn't find direct antonyms for the term earth day. Maybe you were looking for one of these terms? earth (planet), earth almond, earth changes, earth closet, earth color, earth flax, earth hour, earth houses, earth magnetic field, earth mass. ... or search for earth day inside other dictionary definitions.",MARCO_7456508,0," Jupiter is the largest, at 318 Earth masses, whereas Mercury is the smallest, at 0.055 Earth masses. The planets of the Solar System can be divided into categories based on their composition: 1  Terrestrials: Planets that are similar to Earth, with bodies largely composed of rock: Mercury, Venus, Earth and Mars.2  At 0.055 Earth masses, Mercury is the smallest terrestrial planet (and smallest planet) in the Solar System. Gas giants, Jupiter and Saturn, are giant planets primarily composed of hydrogen and helium and are the most massive planets in the Solar System. 2  Jupiter, at 318 Earth masses, is the largest planet in the Solar System, and Saturn is one third as massive, at 95 Earth masses.",MARCO_7546611,0," Story highlights. (CNN)Swim aside, bowhead whales: Greenland sharks have stolen the crown as longest-living vertebrate on Earth. University of Copenhagen researchers estimated that these sharks live at least 400 years, nearly two centuries longer than the whales.",MARCO_7605687,0," Blue Whale. About the Blue Whale. Blue whales are the largest animals ever known to have lived on Earth. These magnificent marine mammals rule the oceans at up to 100 feet long and upwards of 200 tons. Their tongues alone can weigh as much as an elephant. Their hearts, as much as an automobile.",MARCO_7637441,0,
73,32_4,32,4," What are the different types of sharks?<br/>Are sharks endangered?  If so, which species?<br/>Tell me more about tiger sharks.<br/><span>What is the largest ever to have lived on Earth?</span>"," The numbers shown are based on the total land area of each country, including both land and water areas within the international boundaries. Russia is the largest country in the world by a wide margin, covering 17,098,242 square kilometers.Russia stretches across Eurasia, spanning nine time zones and covering about an eighth of the inhabited land area of the Earth. The next largest country is also located in the far north.he map of the ten largest countries by area is an interactive map of the world showing the largest countries. Hover your mouse over each of the top ten countries to see their areas in square kilometers.",MARCO_7655482,0," Dinosaurs roamed every place on Earth. However, it is general belief held by most paleontologists that the largest and oldest populations of dinosaurs originated and lived on the North American continent 150+ million years ago. Dinosaurs lived on the great plains and dense rain-forests as well as deserts. Dinosaurs roamed every place on Earth.",MARCO_7717126,0," The Megalodon is an extinct species of shark. The largest species of shark to have ever lived is thought to be the Megalodon. This species is now extinct. It is believed to ha  ve existed during the prehistoric era, and has not lived for millions of years. It is thought that this giant shark could measure up to 59 feet long (18 metres).",MARCO_7755214,4," But at 60 or so tons, the middle Eocene Basilosaurus was certainly the biggest prehistoric whale that ever lived, outweighing even the much later Leviathan (which itself may have tangled with the biggest prehistoric shark of all time, Megalodon) by 10 or 20 tons.",MARCO_3877651,3," Blue whale is not only the largest mammal on earth , but the largest animal of any kind on the earth. Better still, the blue whale, is the largest animal to ever exist on the earth. There are no land mammals that would make the list of the ten largest mammals on earth. But the largest land mammal is the African elephant. But even the mighty elephant is relatively tiny in comparison to the larger species of whales.",MARCO_7756062,0,
